ARC,1,2,3,4,5,6,mean,desvest,confidence interval
dfrA27,0.9876011317,1.016512335,1.052022398,1.06323038,0.9959506121,1.044060871,1.026562955,0.03116091951,0.02493347041
fosL,1.021248374,1.009768661,1.022619591,1.030509962,1.05874078,1.032565308,1.029242113,0.01655170946,0.01324388254
aadA7,1.020425371,1.007681021,1.010905813,1.033298928,1.039090626,1.06977829,1.030196675,0.02293469397,0.01835124003
aadA4,1.074927675,0.9822480049,1.091067595,1.05838286,0.9766375313,1.004072126,1.031222632,0.04968787708,0.03975785157
dfrA22,1.021887251,1.020302823,1.058877186,1.037485075,1.023716138,1.030501498,1.032128328,0.01457621269,0.01166318496
aacA48,1.043970501,1.066822503,1.030545595,1.055227878,1.037211811,0.9641232286,1.032983586,0.03612800487,0.02890789343
fosM,0.9749785244,1.010061147,1.07148406,1.061396137,1.045595658,1.053430643,1.036157695,0.036595851,0.02928224142
aacC11,1.000275044,1.063165741,1.089324426,1.022365845,1.062656763,0.9854805059,1.037211388,0.04073728529,0.03259601813
OXA198,1.068325098,1.074887594,1.018649852,1.036708355,1.045102678,0.9952502314,1.039820635,0.03004831188,0.02404321524
aphA15,1.05296448,0.9234194014,1.087974516,1.090698667,1.078169787,1.025929709,1.04319276,0.06359994682,0.05088962125
dfrA34,1.046182649,1.03842958,1.039136743,1.047040586,1.03949573,1.08558435,1.049311607,0.01816016292,0.01453088971
aadA6,1.037708265,1.027195171,1.035249753,1.070356314,1.053162229,1.082502664,1.051029066,0.02174012573,0.01739540392
dfrA25,1.053476148,1.053160584,1.058436876,1.077436553,1.086288902,1.020041992,1.058140176,0.02307730533,0.01846535078
aacA8,0.9939540246,1.178223777,0.9962449129,1.062754384,1.128601389,1.036893853,1.066112057,0.07406366342,0.05926218446
aacA31,1.020438762,1.188561821,0.9840736142,0.9960612552,1.049699767,1.159666427,1.066416941,0.0868776626,0.06951533085
aacA61,1.093800952,1.080236572,1.074111137,1.066948413,1.087049469,1.000972156,1.06718645,0.03378022383,0.02702931186
OXA1,1.037619522,1.065595264,1.055999653,1.072194503,1.082117896,1.091988752,1.067585932,0.01930857273,0.01544979206
aacA4,1.152086732,1.103297915,1.032639857,0.9952670072,1.052945787,1.094198942,1.071739373,0.0560108304,0.04481717498
aacA34,1.009067765,1.014907822,1.200752795,1.099636013,1.006345679,1.106858073,1.072928025,0.07756471126,0.06206355471
fosI,1.051899685,1.051474204,1.129735072,1.09679902,1.074972717,1.037987625,1.073811387,0.03440829205,0.02753186187
