ARC,1,2,3,4,5,6,mean,desvest,confidence interval
OXA5,0.907706941,0.9155918767,0.9198020532,0.9346043542,0.909928085,0.8991311349,0.9144607408,0.0121386148,0.00971273626
OXA9,0.9386099509,0.980108595,0.9632458189,0.9773877348,0.945536339,0.9908525715,0.965956835,0.02060550321,0.0164875335
OXA10,0.99594875,0.9824103273,0.9735189061,1.001820365,0.9920793121,0.9914792661,0.9895428211,0.01009550327,0.008077936598
OXA46,0.6034073975,0.6055014661,0.6554458093,0.607107398,0.6139948478,0.6083089493,0.6156276447,0.01983019969,0.01586717289
OXA118,0.964390629,0.9620690651,0.9689565076,0.9709452611,0.9685532029,0.9650918038,0.9666677449,0.003343867034,0.002675601717
OXA129,0.8633204096,0.8681556795,0.8695756446,0.8507439494,0.8522757875,0.8643498421,0.8614035521,0.008020879044,0.006417921982
OXA198,1.003868434,0.999928072,0.9992221128,0.9961603997,1.001879918,1.002893367,1.000658717,0.002814953272,0.002252390341
VIM1,0.9250498493,0.9276361256,0.915570383,0.9316460255,0.9240968369,0.9227395553,0.9244564626,0.005370133932,0.00429692312
VIM2,0.9462698288,0.8953849423,0.897899426,0.8788847904,0.8836520956,0.9051975829,0.9012147777,0.02407436412,0.01926314931
VIM7,0.9695614453,0.9886098595,0.9864230276,0.9734296892,0.96453758,1.005367523,0.9813215207,0.01509726141,0.01208010311
aacA2,1.039997982,1.038365193,1.014510515,1.031847794,1.02065919,1.007042809,1.025403914,0.01342247281,0.01074001775
aacA3,1.01567411,1.015932257,1.004800594,1.003710177,1.010668159,1.010867708,1.010275501,0.005190892953,0.004153503102
aacA4,1.002541907,1.006830164,1.006756454,1.003504866,1.026094161,0.9890343666,1.005793653,0.01192307057,0.009540268129
aacA7,0.9269206139,0.9303793724,0.966102325,0.9410591272,0.9555815703,0.9614509834,0.9469156654,0.01650485623,0.01320639284
aacA8,0.9292314415,0.9033762236,0.9202463487,0.9001022931,0.9112204886,0.9173338703,0.913585111,0.01090717324,0.008727395897
aacA16,0.8809875108,0.8790826255,0.8862204212,0.893364319,0.8926687389,0.8967891303,0.8881854576,0.007203845634,0.005764171107
aacA27,1.072038528,0.8867147578,0.8508636945,1.061894344,1.004635933,0.9659314319,0.9736797816,0.09068768265,0.07256392582
aacA28,0.9316127667,0.908816487,0.9060019884,0.9253707702,0.9188100111,0.9021741099,0.9154643556,0.01166587178,0.009334470012
aacA29,1.001586722,0.9936514398,0.9840746927,0.9974722517,0.9869094473,0.9921723106,0.9926444773,0.006493686674,0.005195936033
aacA30,0.9093263232,0.9105879184,0.9115077361,0.9052748512,0.9058783709,0.92980242,0.9120629366,0.009044215882,0.007236746944
aacA31,0.9955177269,0.9920423036,0.9830300708,0.9884124936,0.9986041559,1.003411986,0.9935031228,0.007293806427,0.005836153412
aacA34,0.998331465,0.9765537605,0.9688370571,0.9801363312,0.9826722007,0.9700460807,0.9794294826,0.01074073815,0.008594222539
aacA35,0.9644633079,1.03213358,0.9900664434,0.9779923364,0.9652265014,0.9825932691,0.985412573,0.02495543454,0.01996813953
aacA37,1.005856431,1.013504709,1.028947954,1.022236742,0.9924211581,0.9963662774,1.009888879,0.01437382993,0.011501248
aacA38,1.024992436,1.050024356,1.006525441,1.002255197,0.9649601217,0.9812369109,1.004999077,0.03034675376,0.0242820141
aacA42,0.9265027904,0.9302202416,0.9247644343,0.9273270341,0.9185417553,0.9170644562,0.9240701186,0.00518601167,0.004149597334
aacA43,0.8697512464,0.8862538496,0.8913890168,0.8976073356,0.9031658686,0.8847110646,0.8888130636,0.01163362894,0.009308670842
aacA45,1.002804358,1.006928494,0.9993458709,1.006770012,0.9967477583,1.009427247,1.003670623,0.004914033004,0.003931973075
aacA47,0.9685352104,0.9861801214,0.9697264538,0.9899564212,0.9863645649,0.9666289592,0.9778986218,0.01064996761,0.008521592319
aacA48,1.018315688,1.007661127,1.008170531,1.009816336,1.004666581,1.00247322,1.008517247,0.005475547865,0.004381270284
aacA50,1.002961085,0.9950302701,0.9981551532,0.9946968627,0.9824054155,0.9894082127,0.9937761665,0.007132064208,0.00570673506
aacA51,0.996643069,0.9954856788,0.9929490473,0.9958744599,0.9824275141,0.9936529323,0.9928387836,0.00528703131,0.004230428395
aacA52,0.9703178093,0.9781627481,0.9699864779,0.9805386374,0.9815221517,0.9969909059,0.979586455,0.009875857202,0.007902186366
aacA54,1.021020468,1.004797927,0.9782158673,1.025890153,1.030817151,1.031633791,1.015395893,0.02067810945,0.01654562953
aacA59,1.094502146,0.9779384901,0.9461346568,0.9953811153,1.049611973,0.9990025406,1.010428487,0.05319774047,0.0425662756
aacA61,0.9706975232,0.9722436576,0.9667466542,0.9640824405,0.96662004,0.9614819133,0.9669787048,0.004008363491,0.00320729985
aacA64,1.06689195,0.8575126831,0.8613474633,0.9549493051,0.9123914356,0.8887306689,0.9236372511,0.07886668199,0.06310532912
aacAX,0.9716273762,0.9452069079,0.9413856056,0.9957255213,0.9349252691,0.9341601717,0.9538384753,0.02467992115,0.01974768696
aacC1,1.006604673,0.9993840777,0.9814196459,0.989066291,0.9899279771,0.9996279202,0.9943384308,0.00914374663,0.007316386666
aacC2,1.006465743,0.9964345902,0.9764939917,1.000954208,0.9966979541,0.9880496327,0.9941826868,0.01057004173,0.008457639466
aacC3,0.9952150492,0.961929129,0.962787229,0.9851199352,0.9706676687,0.9747667278,0.9750809565,0.01303721544,0.01043175332
aacC4,1.014749985,1.001326956,0.9697968056,0.9833259938,1.019051168,1.012565808,1.000136119,0.01964847926,0.01572176893
aacC5,0.9638058839,0.9594405355,0.9521145667,0.9567705532,0.9498267119,0.9453453102,0.9545505936,0.006745171294,0.005397161942
aacC6,1.06593469,0.9962716269,0.9786889078,0.9892962027,0.981258239,0.9881214432,0.9999285183,0.03293126507,0.02635001585
aacC11,1.012886163,0.986668854,0.9789328172,0.9936417008,0.975980591,0.9830597291,0.9885283091,0.01343378909,0.01074907249
aacC13,0.9272041236,0.9251524315,0.90349049,0.9316569395,0.9071980044,0.9076293143,0.9170552172,0.01226205192,0.009811504713
aadA1,1.016893882,1.017430099,0.9881587032,1.01337157,0.9997927842,1.025883304,1.010255057,0.01376385113,0.01101317228
aadA2,1.013040744,1.012528751,0.9738207286,0.9846188083,0.9666078703,0.9851352405,0.9892920238,0.01947817649,0.01558550083
aadA4,1.022086903,1.016926621,0.9885815242,1.009478996,1.009135062,1.007178578,1.008897947,0.01144128734,0.009154768337
aadA5,1.077189479,1.017421853,1.001724142,1.008523613,1.012414788,1.018669939,1.022657302,0.02742238068,0.02194207129
aadA6,1.052479515,1.031756046,0.9968503651,1.039019424,1.016631661,1.036245982,1.028830499,0.01948424478,0.01559035639
aadA7,1.062201665,1.017641505,1.010797322,1.044539141,1.018541021,1.040728571,1.032408204,0.01990689768,0.01592854293
aadA10,1.022999664,0.9853705527,0.9907580819,1.022250235,1.017494964,1.008679527,1.007925504,0.01629734672,0.01304035371
