label,Vmax,K,c,target_w,achieved_w,abs_err,loss,fA_end,fB_end,Environment,family,pair_idx
x_0061,0.9240053510299349,1.99647,1.0201350510804054e-09,0.8925310500443029,0.8933300820545486,0.0007990320102456705,2.4524610190352506e-07,0.4717421627760678,0.5282578372239322,E,aa,61
x_0061,0.9441353005207186,1.99647,1.0960787499486592e-09,1.025170461840914,1.0247422787529252,0.00042818308798886484,7.251556534729829e-08,0.5060109944868157,0.49398900551318414,G,aa,61
x_0062,0.9367469625501273,1.99647,1.1369121765698461e-09,0.9731782671405645,0.9734609084969136,0.00028264135634903376,7.65504382975461e-07,0.4933537287926203,0.5066462712073797,E,aa,62
x_0062,0.937277452394219,1.99647,1.1562572954106598e-09,0.9779140167302502,0.978208133522588,0.0002941167923377064,6.450621563682354e-07,0.49454091957334656,0.5054590804266534,G,aa,62
x_0063,0.9466571418166613,1.99647,1.1308472284680925e-09,1.0421118265088207,1.0428265364450313,0.0007147099362105891,3.406664283938461e-07,0.5098609644394801,0.49013903556051985,E,aa,63
x_0063,0.9287429051563629,1.99647,1.090684367088575e-09,0.9224780845724138,0.9228269147196803,0.00034883014726649897,6.552120045637013e-08,0.48034603350547384,0.5196539664945261,G,aa,63
x_0064,0.9256932655237227,1.99647,1.2607952014613444e-09,0.9026072911050941,0.9040600443362825,0.0014527532311884306,2.8337020154516908e-06,0.47461081433631014,0.5253891856636898,E,aa,64
x_0064,0.9210373231017033,1.99647,1.1430519832368113e-09,0.8737124344855195,0.8750046327010241,0.0012921982155046363,5.611876868767761e-07,0.46700665822880577,0.5329933417711943,G,aa,64
x_0065,0.9462449127605327,1.99647,1.0368045986313139e-09,1.0406505306550449,1.0404712031878296,0.00017932746721527337,8.618912735355306e-08,0.5097976394912594,0.49020236050874055,E,aa,65
x_0065,0.9387252021313601,1.99647,1.1045749244372431e-09,0.9876461428411563,0.9871264033950551,0.0005197394461011751,1.315141689248394e-07,0.49696775364015566,0.5030322463598443,G,aa,65
x_0066,0.9298086968925222,1.99647,1.1369475303307842e-09,0.9289137666182543,0.927958465317011,0.0009553013012433276,4.229962228128204e-07,0.4812080664702755,0.5187919335297244,E,aa,66
x_0066,0.9489337874840281,1.99647,1.2394958267297205e-09,1.0585584780841093,1.0593003667536933,0.0007418886695840232,2.2490764299786552e-06,0.5143633948135486,0.4856366051864514,G,aa,66
x_0067,0.9284772422246974,1.99647,1.1239760327155055e-09,0.9203125690023014,0.9199504967624644,0.0003620722398369747,2.881837563408139e-07,0.47915147482111836,0.5208485251788816,E,aa,67
