label,Vmax,K,c,target_w,achieved_w,abs_err,loss,fA_end,fB_end,Environment,family,pair_idx
dfrA5,0.9353329904659884,1.99647,1.0884212238216399e-09,0.9656028321,0.963955713052996,0.0016471190470039,4.2973161675713697e-08,0.4909978499715646,0.5090021500284355,G,dfr,7
dfrB5,0.9357676997719232,1.99647,1.1266850136603646e-09,0.969136288,0.9681153868980428,0.001020901101957,3.578729756724266e-07,0.4923456194647388,0.5076543805352611,E,dfr,8
dfrB5,0.940511874543513,1.99647,1.1380592069774507e-09,0.9995056618,0.9989449112401508,0.0005607505598492,4.1905912104993083e-07,0.4998801870823662,0.5001198129176337,G,dfr,8
dfrA17,0.9394889781845336,1.99647,1.155826968526421e-09,0.9924638518,0.994212189893488,0.001748338093488,6.402871057070452e-07,0.4984103825473162,0.5015896174526838,E,dfr,9
dfrA17,0.9325364632673164,1.99647,1.0810485633145223e-09,0.945730284,0.9472576347185976,0.0015273507185975,3.9210212101074966e-08,0.4866631708647443,0.5133368291352558,G,dfr,9
dfrB1,0.9401329156827076,1.99647,1.1294960459960211e-09,0.9973065391,0.9973190029303466,1.246383034658738e-05,3.227425401614746e-07,0.4989957543832773,0.5010042456167227,E,dfr,10
dfrB1,0.936629453072208,1.99647,1.249123222062036e-09,0.9753185043,0.9735801931150948,0.0017383111849051,2.653197880223642e-06,0.4935396943783036,0.5064603056216963,G,dfr,10
dfrA16,0.94262897442488,1.99647,1.2465728650564075e-09,1.015354936,1.014004598934289,0.001350337065711,2.440172056168946e-06,0.503462458393607,0.4965375416063929,E,dfr,11
dfrA16,0.9340691039312938,1.99647,1.1540235305093548e-09,0.9574554413,0.9570326339757042,0.0004228073242958,9.779010258895426e-07,0.4891957881675048,0.5108042118324951,G,dfr,11
dfrA6,0.9436927536724694,1.99647,1.1092686736326616e-09,1.021081313,1.0206512726168813,0.0004300403831187,2.0971227242604066e-07,0.504994309783717,0.495005690216283,E,dfr,12
dfrA6,0.9268396660294308,1.99647,1.1392374957013923e-09,0.9101167481,0.9103638148920884,0.0002470667920883,4.724222365679945e-07,0.476823381155895,0.5231766188441048,G,dfr,12
dfrB7,0.9440694724361812,1.99647,1.0957657051120855e-09,1.024459922,1.0238728638864634,0.0005870581135365,7.128016010397516e-08,0.5059232134282069,0.4940767865717931,E,dfr,13
dfrB7,0.9400374746538764,1.99647,1.083041286774393e-09,0.9967060812,0.9956049169384302,0.0011011642615698,2.2080813727626277e-08,0.4987322413905735,0.5012677586094264,G,dfr,13
dfrB6,0.9441931729065278,1.99647,1.146434487197259e-09,1.025586544,1.0253672650925194,0.0002192789074806,5.152084897439781e-07,0.5062238306084172,0.4937761693915828,E,dfr,14
dfrB6,0.937340701873968,1.99647,1.1044950719293996e-09,0.9782046362,0.9788889761123064,0.0006843399123064,1.2176109296539462e-07,0.4948890677773378,0.5051109322226621,G,dfr,14
dfrA27,0.9443508331619652,1.99647,1.056234704525039e-09,1.026562955,1.0279977623910337,0.0014348073910335,1.203063016885343e-08,0.5066425905078151,0.4933574094921849,E,dfr,15
dfrA27,0.93253414910328,1.99647,1.108924565083978e-09,0.9458212647,0.94660168047883,0.0007804157788298,1.9710995723296326e-07,0.4861965652598883,0.5138034347401117,G,dfr,15
dfrA34,0.9476795350331264,1.99647,1.1469862946308391e-09,1.049311607,1.0486539441681548,0.000657662831845,5.28411825709078e-07,0.511979110015704,0.488020889984296,E,dfr,16
dfrA34,0.9395783897474014,1.99647,1.2205646313219584e-09,0.9934217777,0.9931476603034562,0.0002741173965437,1.8047587535512269e-06,0.4983879489534226,0.5016120510465775,G,dfr,16
dfrA25,0.948710646630726,1.99647,1.0206622954050692e-09,1.058140176,1.0572051741141075,0.0009350018858924,2.0905127073151537e-07,0.5138147632272061,0.4861852367727938,E,dfr,17
dfrA25,0.9378325363262556,1.99647,1.187226209846166e-09,0.9814644172,0.9826489715953332,0.0011845543953331,1.1427959358218425e-06,0.4954472966145825,0.5045527033854177,G,dfr,17
dfrA21,0.9511424314751852,1.99647,1.0582613507431666e-09,1.074909918,1.0754268105631049,0.0005168925631049,1.8365887926395184e-08,0.5182478954544228,0.4817521045455772,E,dfr,18
dfrA21,0.9420234241622804,1.99647,1.2038019289920362e-09,1.011004669,1.0112297874898797,0.0002251184898796,1.4799885339384122e-06,0.5022391362660967,0.4977608637339032,G,dfr,18
x_0019,0.947039821028445,1.99647,1.1049159866256855e-09,1.0462298122239977,1.0458983194709948,0.0003314927530029266,1.3962915298847817e-07,0.5108988564637478,0.4891011435362521,E,dfr,19
x_0019,0.9367221666180405,1.99647,1.2491463172962248e-09,0.9740630575176668,0.9749216532908284,0.0008585957731616078,2.4829030046921588e-06,0.49367497731729915,0.5063250226827009,G,dfr,19
x_0020,0.9243598314263396,1.99647,1.1040906455277408e-09,0.8947653096075514,0.8952288986814398,0.0004635890738884374,1.506254484814567e-07,0.47275817196789327,0.5272418280321068,E,dfr,20
x_0020,0.9294199324895422,1.99647,1.0389568419673518e-09,0.927175459505947,0.9270890193722526,8.644013369440984e-05,1.0513142856132095e-07,0.48101336121232985,0.5189866387876703,G,dfr,20
x_0021,0.9273325113999485,1.99647,1.1250648928056092e-09,0.9131508002939902,0.9143976076579389,0.0012468073639486654,3.0848351755432083e-07,0.4777922565417234,0.5222077434582766,E,dfr,21
x_0021,0.9329047445479435,1.99647,1.1306342051416645e-09,0.9485878098536125,0.9486989161517454,0.00011110629813293471,3.444373446553502e-07,0.4869860824779494,0.5130139175220505,G,dfr,21
x_0022,0.942157880092948,1.99647,1.1397144153991046e-09,1.012227496788207,1.0114834323506194,0.000744064437587566,4.330131851883226e-07,0.502455294461504,0.49754470553849584,E,dfr,22
